feature-vector-1,feature-vector-2,label,cluster
-12.256802,13.708758,IMG_20210223_102721.jpg,5
-7.5265946,8.474544,IMG_20210329_132303.jpg,7
0.43648824,-0.74544805,IMG_20200224_132302.jpg,1
-12.419421,13.481072,IMG_20200224_133008.jpg,5
14.965371,4.5845437,IMG_20200224_132100.jpg,6
9.043753,9.872318,IMG_20210223_102922.jpg,3
-3.7529073,7.384788,IMG_20210223_102507.jpg,2
0.5259904,-0.7173335,IMG_20210223_101959.jpg,1
0.028908933,-0.6803469,IMG_20210223_102539.jpg,1
2.4729683,-0.91002566,IMG_20200224_132710.jpg,1
-12.000545,12.547777,IMG_20210223_102707.jpg,5
-12.272253,13.850035,IMG_20210329_132506.jpg,5
15.175594,8.765534,IMG_20200224_132328.jpg,9
-12.1959095,12.989569,IMG_20200224_132315.jpg,5
15.054218,5.1018105,IMG_20200224_132517.jpg,6
14.850999,4.9203973,IMG_20200224_132503.jpg,6
-8.02145,8.787516,IMG_20210223_102500.jpg,7
-6.2730193,7.850132,IMG_20200224_132729.jpg,2
0.5704941,-0.6987136,IMG_20200224_132701.jpg,1
8.056341,9.814893,IMG_20210223_102058.jpg,3
8.216798,10.115347,IMG_20200224_132305.jpg,3
15.800974,6.1957183,IMG_20210223_102313.jpg,0
1.1851006,-1.5500313,IMG_20210223_102703.jpg,1
0.8388493,-1.5257264,IMG_20200224_132500.jpg,1
0.8858806,-1.6483996,IMG_20200224_132716.jpg,1
9.521352,10.025986,IMG_20200224_132110.jpg,3
-12.356721,13.147191,IMG_20210329_132529.jpg,5
15.435819,8.694752,IMG_20210223_102847.jpg,9
15.284213,8.679138,IMG_20210223_102853.jpg,9
9.220779,9.897246,IMG_20210223_102933.jpg,3
0.13454762,-0.6116851,IMG_20200224_132228.jpg,1
15.281045,8.924486,IMG_20210223_102954.jpg,9
14.925601,5.019283,IMG_20210223_102820.jpg,6
8.358588,10.00104,IMG_20200224_132348.jpg,3
15.82999,5.964261,IMG_20210329_132215.jpg,0
-12.541794,13.424405,IMG_20210329_1325299.jpg,5
-10.140415,10.341398,IMG_20210223_102028.jpg,4
15.318708,8.241889,IMG_20200224_132003.jpg,9
-10.918916,15.978973,IMG_20210223_102558.jpg,8
-6.6497874,7.974213,IMG_20200224_132217.jpg,7
-4.562742,7.4440093,IMG_20210223_101906.jpg,2
-8.118354,8.871526,IMG_20210329_132529999.jpg,7
14.795714,4.8274345,IMG_20210223_102823.jpg,6
-11.243092,11.347327,IMG_20200224_1330050.jpg,4
8.686298,10.001048,IMG_20210223_102406.jpg,3
15.649134,5.698752,IMG_20210223_102412.jpg,0
-11.239339,11.346964,IMG_20200224_132438.jpg,4
0.30266702,-0.65912586,IMG_20210223_102836.jpg,1
-11.062205,16.095085,IMG_20210329_132438.jpg,8
-8.390818,9.013446,IMG_20210329_132414.jpg,7
-8.981565,9.443966,IMG_20200224_132038.jpg,7
2.9615312,-0.40516156,IMG_20200224_132400.jpg,1
-12.312969,13.716786,IMG_20210223_102359.jpg,5
-11.000682,11.087886,IMG_20210223_102628.jpg,4
-11.182103,15.749253,IMG_20210223_102614.jpg,8
15.117396,4.706721,IMG_20210223_102827.jpg,6
2.382309,-0.99543256,IMG_20210223_102212.jpg,1
-12.35939,13.4985285,IMG_20210329_13252999.jpg,5
8.779007,9.888968,IMG_20200224_132416.jpg,3
0.16274412,-0.59666616,IMG_20210329_13252998.jpg,1
-11.157375,16.088978,IMG_20210223_102603.jpg,8
-11.224672,15.726278,IMG_20200224_132833.jpg,8
-8.5760565,9.167623,IMG_20200224_131902.jpg,7
-10.981921,11.071595,IMG_20210223_101901.jpg,4
